time,seconds_elapsed,z,y,x
1619714760423005000,0.6740048828125,5.825531615099311,5.534888626846671,-3.7125031040608882
1619714760432931800,0.683931884765625,5.402725304979086,5.296067595767974,-3.210691061764955
1619714760442859800,0.69385986328125,5.1535775256752965,4.459342046338319,-2.8236422937244177
1619714760452788000,0.7037880859375,5.114567703801393,3.7650922462150453,-1.7384657150834797
1619714760462716000,0.7137158203125,4.48804324016571,3.9597219611287113,-0.38800095419883723
1619714760472642800,0.723642822265625,3.3126959767341613,4.524009164299071,1.5388064815700053
1619714760482571000,0.733571044921875,2.2915344818860293,4.8994998887538905,3.48041810323894
1619714760492499000,0.7434990234375,1.6733756955355406,5.79643703804016,5.459004241561889
1619714760502425900,0.75342578125,0.7769587707310914,6.089975747734308,6.7467392822891465
1619714760512353800,0.763353759765625,-0.5094312851279974,5.63660712608993,8.13664874933362
1619714760522282000,0.773281982421875,-1.5776204886108636,5.0657379141807555,9.77030033724606
1619714760532209000,0.783208984375,-1.580333254700899,4.3089732056945556,11.14109710754156
1619714760542136800,0.79313671875,-1.2692676561444998,3.38558293376863,12.632742024964093
1619714760552064800,0.803064697265625,-0.9920686713546514,2.351428101834655,14.165332700759171
1619714760561991700,0.81299169921875,-0.24457974073588848,1.3672674271255731,14.740884517526625
1619714760571920000,0.822919921875,-0.15716916830837727,0.6386398488432169,14.99522518929839
1619714760581847800,0.832847900390625,-0.4026353364899754,-0.2705950564801693,14.974410364806651
1619714760591774700,0.842774658203125,-0.6489879321172833,-0.8676140241682528,14.582301390767096
1619714760601702700,0.85270263671875,-1.4537430567905305,-0.8530378018051386,13.951273770493268
1619714760611630600,0.862630615234375,-2.573172325906157,-0.7652759317219257,13.328854988610743
1619714760621557800,0.872557861328125,-3.355315513537824,-1.088391449034214,12.92361414579749
1619714760631485700,0.882485595703125,-4.245108928549289,-1.6288608465045689,11.84135199329853
1619714760641413600,0.89241357421875,-4.798469664035737,-1.5395032316625117,10.52141155001521
1619714760651341600,0.902341552734375,-4.956181560918688,-1.9687334373503922,9.651302201899886
1619714760661268700,0.912268798828125,-4.560921429371834,-2.803520127671957,8.506732938569783
1619714760671196700,0.92219677734375,-3.8735084895312784,-2.2933926769733426,7.9037033322900525
1619714760681124600,0.93212451171875,-4.067182803416252,-2.1236451821208,7.531475701284408
1619714760691051800,0.9420517578125,-3.9586943716466423,-2.430314007022977,6.554881662437319
1619714760700979700,0.951979736328125,-4.186551525640487,-2.175768168067932,5.546167561230063
1619714760710907600,0.96190771484375,-4.681178624868393,-2.3207944786399604,4.442362269964814
1619714760720834800,0.971834716796875,-4.702981291353702,-2.8052643409907816,3.2229373798757788
1619714760730762800,0.9817626953125,-4.740903902512788,-3.3314445163458584,1.47881933811903
1619714760740690700,0.991690673828125,-5.692770911860466,-4.1814638471126555,-0.2390145078241825
1619714760750617900,1.001617919921875,-6.998821946001052,-5.666031373494863,-1.3921230514407157
1619714760760545800,1.0115458984375,-8.948816196089982,-7.194544424587487,-1.9538789825677871
1619714760770473700,1.0214736328125,-8.464309508860111,-7.837281187355518,-2.0683371363967655
1619714760780400600,1.031400634765625,-6.2099944582998745,-6.280044730603694,-1.4607500129431485
1619714760790328800,1.041328857421875,-4.3048014729678625,-2.9056670814603565,-0.3766764271080494
1619714760800256800,1.0512568359375,-2.0839304268479344,-1.0092121138572692,-0.27162439952790735
1619714760810183700,1.06118359375,-1.2467314146876334,-1.0477549027413129,-0.15568448270857332
1619714760820112000,1.07111181640625,-1.7734744846224784,-2.70349440382123,-0.644025633534789
1619714760830039800,1.081039794921875,-1.6668611990749835,-3.7252526955187317,-1.145288809776306
1619714760839967700,1.0909677734375,-1.3016262034356594,-3.351417629316449,-0.6702139677584171
1619714760849894700,1.100894775390625,-0.7384872935175896,-3.28546894711256,-0.11672843684852123
1619714760859822800,1.11082275390625,0.3541103750348091,-3.0731805336505174,0.3383633553266525
1619714760869750800,1.120750732421875,1.414026840212941,-2.0730945600569246,1.1713134778708219
1619714760879677700,1.130677734375,2.241052248883247,-1.4740613299369811,1.5525135198831557
1619714760889606000,1.14060595703125,2.735588747218251,-1.5912649830818175,1.609472255423665
1619714760899533800,1.150533935546875,2.635406956022978,-1.636740201577544,0.6951637000977993
1619714760909460700,1.160460693359375,2.5491210037112233,-2.3958745618045327,-0.6197574537187814
1619714760919388700,1.170388671875,2.066606951603293,-1.958955555179715,-1.4714572849184273
1619714760929316900,1.18031689453125,1.364537125378847,-1.837857232683897,-1.9191741644114255
1619714760939243800,1.190243896484375,0.6780196730732917,-1.6104454843699931,-2.255700367438793
1619714760949171700,1.200171630859375,0.24844226138293743,-1.1673387290209531,-2.1810598447352647
1619714760959099600,1.210099609375,-0.009547434415668249,-0.9587713819086551,-2.051419319343567
1619714760969026800,1.22002685546875,0.09704992291033267,-1.0745113922417162,-1.9098118773043156
1619714760978954800,1.229954833984375,0.6804742266185582,-0.8131009282141923,-1.454363526776433
1619714760988882700,1.239882568359375,0.9096353028178215,-0.25672259847223755,-1.7079449046134947
1619714760998811000,1.249810791015625,1.101886598162353,-0.7973784584254026,-2.449248424595594
1619714761008737800,1.25973779296875,0.5234906440101563,0.9372919560283421,-3.092987057882547
1619714761018665700,1.269665771484375,0.24725991973057387,3.956912748926878,-4.482497880998253
1619714761028593700,1.27959375,-1.3622189115643502,6.647749915748834,-4.9924014598131174
1619714761038520800,1.289520751953125,-1.939261259150505,8.189384314221144,-4.7350826490134
1619714761048448800,1.29944873046875,-0.7793727000050247,9.205177560034393,-3.398109237864613
1619714761058376700,1.309376708984375,0.040681554478406906,8.950335953003167,-1.8525357463777063
1619714761068304000,1.319303955078125,0.800344907015562,7.300984691655636,-0.8501730600237846
1619714761078231800,1.329231689453125,0.9042870736576616,6.326125513777137,-0.32409283791184423
1619714761088159700,1.33915966796875,1.0355516931198536,4.02608097769916,-0.18240823898315428
1619714761098087000,1.3490869140625,0.7328280987121164,1.795629617807269,-0.06612462329268455
1619714761108014800,1.359014892578125,0.5018301624745131,1.0920844583332538,0.20958032354712486
1619714761117942800,1.36894287109375,0.5143605582237243,0.8699579569458961,0.8932301114618778
1619714761127869700,1.37886962890625,0.6959865607880056,1.0272469522416592,1.6485335152238607
1619714761137798000,1.3887978515625,1.6609750636458396,1.529312677037716,1.9086328966528177
1619714761147725800,1.398725830078125,1.2750240277141331,2.250086619210243,2.658618904784322
1619714761157653800,1.40865380859375,-0.24568097997605798,2.959984362581372,3.6432495350927114
1619714761167580700,1.41858056640625,2.804472898352146,3.069879738539457,6.627064270594715
1619714761177508900,1.4285087890625,3.7903380388915537,2.7390175526231526,2.2457962285399438
1619714761187436800,1.438436767578125,0.5975486175853759,4.228994829094409,0.4414285930037498
1619714761197363700,1.44836376953125,0.15300313467010854,4.354413937398791,1.7731722868055104
1619714761207292000,1.4582919921875,0.8708755101822316,2.860960509249568,0.37491117100119586
1619714761217219800,1.4682197265625,-0.9206050251215696,1.2641174337744712,-0.04709200604259967
1619714761227146800,1.478146728515625,-1.9359055189818142,-0.28482699545025825,0.022488310661911964
1619714761237074700,1.48807470703125,-1.5818617794424294,-1.2902742038160562,-0.7139660157233476
1619714761247003000,1.4980029296875,-1.7623609699338674,-1.8870640389233826,-1.6653876193910837
1619714761256929500,1.507929443359375,-2.3081658832132814,-3.172164054971933,-2.44151695356071
1619714761266857700,1.517857666015625,-2.6783529483020305,-4.06220735309124,-2.891326421418786
1619714761276785700,1.52778564453125,-3.0926176400482652,-4.260277856108546,-2.012980575355887
1619714761286712600,1.537712646484375,-2.7046996879577634,-4.1207074728548525,-0.6704413467735052
1619714761296640500,1.547640625,-1.520113325407356,-3.5067227573186157,0.4104255519747734
1619714761306568700,1.557568603515625,0.15196750801205633,-2.723211496204138,0.9922884515851735
1619714761316496600,1.56749658203125,1.219475158971548,-2.756462023898959,0.17001345231235027
1619714761326423600,1.577423583984375,1.0240256521075963,-2.781204835489392,-0.2165852338731289
1619714761336351700,1.587351806640625,0.012227028888463973,-3.3167391146451233,-0.5189934787213802
1619714761346279700,1.59727978515625,-0.5102700740396976,-3.953657546523213,-1.5467027877777815
1619714761356206600,1.60720654296875,-0.6272358998406679,-3.8649119260996576,-2.3797411731272935
1619714761366134500,1.617134521484375,-0.9809259305715561,-3.2017110519737004,-2.3121681045919655
1619714761376062700,1.627062744140625,-1.7589678203642367,-1.710093022558093,-0.872861861693859
1619714761385989600,1.63698974609375,-2.0950918723315,-0.27238544702827927,1.408711782670021
1619714761395917600,1.64691748046875,-0.6873615019142627,-0.23092940104603765,2.1008499974668027
1619714761405845800,1.656845703125,2.1885002238690854,-0.6698842974126339,1.6896417706817388
1619714761415772700,1.666772705078125,5.469068539458513,-1.725184793227911,1.5734695064112543
1619714761425700600,1.67670068359375,6.201453424447775,-2.8140263241171835,1.3974462922900914
1619714761435628500,1.686628662109375,4.610484209442139,-3.6047231128215786,0.698226594799757
1619714761445555700,1.6965556640625,4.045830218786001,-4.741009700974821,-0.6194102477163076
1619714761455483600,1.706483642578125,3.4929297942876816,-5.434995004943013,-1.8883005949810145
1619714761465411600,1.71641162109375,0.2706722133696079,-5.373022240632772,-3.0114880475863814
1619714761475338800,1.7263388671875,-2.908668601363897,-5.850640337392687,-3.385830186527967
1619714761485266700,1.7362666015625,-4.330243372738361,-6.089112408903241,-3.049146747112274
1619714761495194600,1.746194580078125,-5.639112971431016,-5.4633063226699825,-2.7955688764065503
1619714761505121800,1.756121826171875,-5.476993487238883,-4.195029431128502,-2.942468579635024
1619714761515049700,1.7660498046875,-2.9214579403102396,-3.3804274507015943,-3.1921675630807873
1619714761524977700,1.775977783203125,0.28369651184929534,-3.2504923262774943,-3.0345749086633322
1619714761534905600,1.785905517578125,2.7567607145845887,-3.3584482586055993,-2.239743212111294
1619714761544832800,1.795832763671875,3.1850644530773162,-4.017546958109736,-1.1428737845238297
1619714761554760700,1.8057607421875,1.9289993928551672,-4.8079888952702285,-0.5721934462502598
1619714761564688600,1.815688720703125,0.1349766257226467,-5.597157159233093,-1.0955997729778288
1619714761574615800,1.82561572265625,2.1091864486575127,-3.8406536831557747,-8.311851002460717
1619714761584543700,1.835543701171875,9.038366118633746,17.8596291170001,-17.139751831406354
1619714761594470700,1.845470703125,12.408843253207205,31.341336579763887,-13.411839561289549
1619714761604397800,1.855397705078125,3.099358346480131,33.62494436030388,-2.7044439596310257
1619714761614325800,1.86532568359375,-9.379341117763518,20.419898122191427,3.1190543960750103
1619714761624253700,1.875253662109375,-8.343165009135008,4.786412438756227,3.134603262862563
1619714761634180900,1.885180908203125,-3.907995281022787,-1.423064717671275,2.7061545629411934
1619714761644108800,1.89510888671875,0.5822704574979841,-2.5105484042108057,1.7489539374805987
1619714761654036700,1.90503662109375,3.591064005303383,-1.840703269764781,0.9881836466148495
1619714761663964000,1.9149638671875,3.5392578302204605,-1.5014520256876944,1.1381772242054342
1619714761673891800,1.924891845703125,2.3481904350876808,-1.3112287290394304,1.5608787587769328
1619714761683819800,1.93481982421875,0.9305367826797067,-0.9168348589330911,1.7918508299209177
1619714761693746700,1.94474658203125,-0.31778935385346413,-0.8060036634296178,2.136721813575923
1619714761703675000,1.9546748046875,-0.41331075202226636,-0.2653705998301506,2.250681370232999
1619714761713602800,1.964602783203125,-0.01638765569925308,0.24582769497036933,1.8136144795700906
1619714761723529500,1.974529541015625,-0.13715331217460333,0.12087445061206817,0.6496336826749146
1619714761733457700,1.984457763671875,-0.3432347607553005,0.32722996689379213,-0.5171428824186325
1619714761743385900,1.9943857421875,-0.49570261950492855,0.4788187047213316,-0.9089066962823271
1619714761753313800,2.004313720703125,-1.233707097941637,0.2533446464717388,-0.8795034186001867
1619714761763240400,2.014240478515625,-0.9652303487896918,-0.014014496827125548,-0.8190671431422233
1619714761773168600,2.024168701171875,-0.1676676929038018,-0.06094575935006141,-0.5038267431192099
1619714761783096800,2.034096923828125,0.5305284336924553,-0.0763397278368473,-0.055802258981764316
1619714761793023500,2.0440234375,0.7578349680662154,-0.11430033291876315,0.24227701675146818
1619714761802951700,2.05395166015625,0.6316693522434681,-0.15263503201007841,0.3868088948700577
1619714761812879600,2.063879638671875,0.29868250232338905,-0.2204880865305662,0.502266508065164
1619714761822806500,2.073806640625,-0.2931856584727764,-0.18186872527897358,0.8201011623650789
1619714761832734500,2.083734375,-0.9694271428924053,-0.06844108354151249,1.2468752070724964
1619714761842662700,2.09366259765625,-1.3035340828835964,0.13187690614163874,1.857398383978009
1619714761852589600,2.103589599609375,-1.90448805193305,0.27410218781828877,2.359349834744632
1619714761862517500,2.113517578125,-2.3451813163995743,0.3133762135863304,2.61550281663537
1619714761872445700,2.12344580078125,-2.260467727971077,0.4391121327549219,2.811162459118664
1619714761882372600,2.13337255859375,-1.9898633191406725,0.43230420630574223,2.562505093680322
1619714761892300500,2.143300537109375,-1.5591326457619665,0.4267629387915134,2.103536752332747
1619714761902228500,2.153228515625,-1.1119044265687466,0.2015524999141693,1.613718806952238
1619714761912155600,2.16315576171875,-0.8202186512649059,-0.45328854214549064,1.1672890446603297
1619714761922083600,2.17308349609375,-0.5389817892611026,-1.101140455970168,0.9483207150429487
1619714761932011500,2.183011474609375,-0.19896191716538741,-1.4463228436619042,0.8863611755404621
1619714761941939700,2.192939697265625,-0.07379238144159317,-1.0605997712671755,0.9007675212293863
1619714761951866600,2.20286669921875,-0.3162999920785427,-0.5407493834555149,0.6822103296961635
1619714761961794600,2.212794677734375,-0.7173954056501388,-0.09779986449480056,0.4253352440759539
1619714761971722500,2.222722412109375,-1.1301122834324837,0.20539631586074827,0.36032756904922425
1619714761981649700,2.232649658203125,-1.3447685950696469,0.5511293231725692,0.3160743666291237
1619714761991577600,2.24257763671875,-1.1184025564163922,0.8083499342948198,0.3885249050077051
1619714762001505500,2.252505615234375,-0.9637246204018592,0.7004945397317409,0.5493009387016297
1619714762011432700,2.2624326171875,-0.6432768609941005,0.37917116653323174,0.7105947857245802
1619714762021360600,2.272360595703125,-0.2944634050573222,0.04626958374381065,0.9373776615504175
1619714762031288600,2.28228857421875,0.017498265555966643,-0.18593407502174375,1.2853522372439503
1619714762041215700,2.2922158203125,0.20244628868242726,-0.16034078408181665,1.6205207420520484
1619714762051143700,2.302143798828125,0.22474402694199233,-0.20640812325179575,1.7533023419484495
1619714762061071600,2.312071533203125,0.24992639899346977,-0.18679741385281085,1.8097697868406772
1619714762070998800,2.321998779296875,0.3483622233042493,-0.04922375737428665,1.7770386068448423
1619714762080926700,2.3319267578125,0.23707038801908492,0.22498715151548385,1.866223495468497
1619714762090854700,2.341854736328125,0.14608429519236088,0.2248848601847887,1.7521531719133256
1619714762100781600,2.351781494140625,0.05194814083687961,-0.2193161201417446,1.5935650767177343
1619714762110709800,2.361709716796875,0.045672786894440646,-0.4129255520969629,1.6857918172553181
1619714762120637700,2.3716376953125,0.17881584051437674,-0.1755062045097351,1.8080135908231139
1619714762130564600,2.381564697265625,0.21561149347014724,0.20397768123447893,1.65653561989367
1619714762140492800,2.391492919921875,0.15944361604638396,-0.21765081727802751,1.1129326736379415
1619714762150420700,2.401420654296875,0.13307875621207058,-0.13942308373749254,0.7865850425366312
1619714762160348700,2.4113486328125,0.11367255640923976,0.8586685011684894,0.8420718788936734
1619714762170275600,2.421275634765625,0.331986952162534,1.643993533706665,0.7716549652345478
1619714762180203800,2.431203857421875,0.6891256620425731,2.1725351774960755,0.40084238865859806
1619714762190131700,2.441131591796875,1.1249731669783591,2.4225603241562843,-0.21399550964087247
1619714762200058600,2.45105859375,1.442272691488266,2.5183850891858337,-0.6345179466076195
1619714762209986600,2.460986572265625,1.603847401279211,1.8203665841788053,-0.9842311095967888
1619714762219914800,2.470914794921875,1.8192682675480842,0.9635247139155864,-0.6747380210541188
1619714762229841700,2.480841552734375,0.8411725919663906,0.12483575545847415,-0.12798428261727093
1619714762239769600,2.49076953125,1.0189958412468432,-0.27386896358430385,-0.13215455403923987
1619714762249697800,2.50069775390625,0.4649871632456779,-0.6388531993329525,-0.29261078119426964
1619714762259624700,2.510624755859375,-0.7939970723588019,-1.0978092657208443,0.06868000686392188
1619714762269552600,2.520552734375,-0.5205588283419609,-0.32721067767143247,1.705214310605824
1619714762279480600,2.53048046875,-1.820309301033616,1.113285651794076,3.409191772893071
1619714762289407700,2.54040771484375,-1.9968454331129788,2.094574570459127,3.2537995511293407
1619714762299335700,2.550335693359375,-0.5368856937646865,3.370651322096586,2.6328710078045723
1619714762309263600,2.560263671875,-0.6899462577104568,3.5395389852494,1.6196978813618421
1619714762319191800,2.57019189453125,-0.6645441054284572,3.215988583651185,1.0452027340404688
1619714762329118700,2.58011865234375,-0.9123690386306494,2.3078858972281218,0.470596089168638
1619714762339046700,2.590046630859375,-1.3000824811249971,1.3982587777167559,-0.025319296304136513
1619714762348974600,2.599974609375,-1.4593921685934066,0.9724275668174028,-0.14638590848743915
1619714762358901800,2.60990185546875,-1.3933622378468513,0.7749614594340324,-0.22451325039342043
1619714762368829700,2.61982958984375,-1.3535054437547922,0.5040536837428808,-0.18982158397957682
1619714762378757600,2.629757568359375,-1.2196545341264455,0.4639245024502277,-0.0452991312764585
1619714762388684800,2.639684814453125,-0.9374468543291091,0.10101298132240771,0.04336655577868223
1619714762398612700,2.64961279296875,-0.7409568254362792,-0.42292262997627256,-0.0827374660499394
1619714762408540700,2.659540771484375,-0.5412935733348131,-0.763074622285366,-0.27313743443936106
1619714762418467800,2.6694677734375,-0.37008535827994343,-0.8610410755187272,-0.5294859389021992
1619714762428395800,2.679395751953125,-0.13932773360423742,-0.8221528341978788,-0.6703114367835223
1619714762438323700,2.68932373046875,-0.14592815478257834,-0.6303069047838449,-0.6837984026052057
1619714762448251000,2.6992509765625,-0.32742519720494745,-0.2573293321937323,-0.5877811837434769
1619714762458178800,2.7091787109375,-0.6324491775095462,0.053472062468528744,-0.5761261095240712
1619714762468106800,2.719106689453125,-1.0178501783430576,0.2929337295383215,-0.6595175094380974
